REF_DATE,PRENAME,Sex,Age group and first officiel language spoken,Immigrant and generation status,Visible minority status,"Highest certificate, diploma or degree",Indicators,VALUE
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,18.2
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,14.5
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,16.1
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,71.1
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,69.2
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,63.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,64.8
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,76.8
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,84.8
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,51.9
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,71.4
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,81
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,20
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,4.6
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,83.3
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,84.1
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,88.2
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,55.1
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,53.3
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.2
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,50
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,46.7
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,63.5
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,9.3
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,18.8
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,9.5
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,75
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,57.1
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,86.1
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,71.3
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,66
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,42.8
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,60
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,56
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,33.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,15.8
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,15.2
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,22.1
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,93.2
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,93.1
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,73.6
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,45
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,51.6
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,65.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,30
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,50
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,59.2
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,22.2
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,9.4
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,66.7
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,93.3
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,60.6
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,52.6
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,56
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,80.6
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,36.8
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,44
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,72.2
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,30
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,10.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,50
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.9
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,69.2
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,58.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,69.2
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,41.7
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,42.9
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,100
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,66.7
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,50
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,72.7
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,75
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,45
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,72.7
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,58.3
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,20
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,75
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,100
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,66.7
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,50
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,47.8
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,72.7
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,50
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,30.4
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,68.2
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,12.5
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,66.7
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,76.5
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,66.7
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,75
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,71.4
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,58.3
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,71.9
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,62.9
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,12
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,90
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,84.6
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,75
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,58.8
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,59.3
2016,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,58.5
2006,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,47.9
2011,Newfoundland and Labrador,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,50.7
